Threads,ArraySize,Time
 1, 1048576, 0.110735
1, 1048576, 0.092046
1, 1048576, 0.091949
1, 2097152, 0.197478
1, 2097152, 0.195195
1, 2097152, 0.193470
1, 4194304, 0.405615
1, 4194304, 0.416838
1, 4194304, 0.402877
1, 8388608, 0.854355
1, 8388608, 0.851679
1, 8388608, 0.846025
1, 16777216, 1.769969
1, 16777216, 1.791318
1, 16777216, 1.815995
1, 33554432, 3.819054
1, 33554432, 3.761405
1, 33554432, 3.813893
1, 67108864, 7.799738
1, 67108864, 8.059166
1, 67108864, 7.852112
1, 134217728, 16.725515
1, 134217728, 16.673471
1, 134217728, 16.735206
1, 268435456, 35.313195
1, 268435456, 35.199420
1, 268435456, 35.718950
1, 536870912, 74.221263
1, 536870912, 73.597181
1, 536870912, 74.306225
1, 1073741824, 154.741168
1, 1073741824, 153.477512
1, 1073741824, 152.645833
2, 1048576, 0.067679
2, 1048576, 0.068099
2, 1048576, 0.067878
2, 2097152, 0.162848
2, 2097152, 0.144321
2, 2097152, 0.144011
2, 4194304, 0.303398
2, 4194304, 0.301479
2, 4194304, 0.303525
2, 8388608, 0.785991
2, 8388608, 0.531422
2, 8388608, 0.496484
2, 16777216, 1.347831
2, 16777216, 1.295608
2, 16777216, 1.366337
2, 33554432, 2.734903
2, 33554432, 2.710536
2, 33554432, 2.688834
2, 67108864, 6.917617
2, 67108864, 5.293858
2, 67108864, 4.750801
2, 134217728, 12.033568
2, 134217728, 9.496850
2, 134217728, 13.074816
2, 268435456, 22.728197
2, 268435456, 24.550670
2, 268435456, 24.522557
2, 536870912, 50.602205
2, 536870912, 51.118251
2, 536870912, 48.605285
2, 1073741824, 108.271312
2, 1073741824, 107.016958
2, 1073741824, 106.798598
3, 1048576, 0.055661
3, 1048576, 0.048738
3, 1048576, 0.048045
3, 2097152, 0.119946
3, 2097152, 0.119874
3, 2097152, 0.119307
3, 4194304, 0.203880
3, 4194304, 0.207403
3, 4194304, 0.209678
3, 8388608, 0.365578
