Threads,ArraySize,Cutoff,Time
12,1073741824,18,74.572096
12,1073741824,16,63.708071
12,1073741824,16,70.645777
12,1073741824,32,34.180558
12,1073741824,32,38.098307
12,1073741824,32,40.093592
12,1073741824,64,27.299984
12,1073741824,64,29.455795
12,1073741824,64,26.248529
12,1073741824,128,28.038011
12,1073741824,128,27.616583
12,1073741824,128,30.844628
12,1073741824,256,32.414508
12,1073741824,256,32.731381
12,1073741824,256,33.666927
12,1073741824,512,37.550951
12,1073741824,512,40.487511
12,1073741824,512,39.575685
12,1073741824,1024,59.343272
12,1073741824,1024,60.672182
12,1073741824,1024,62.749046
12,1073741824,2048,101.280844
12,1073741824,2048,99.014974
12,1073741824,2048,97.911248
12,1073741824,4096,176.974434
12,1073741824,4096,171.518907
12,1073741824,4096,178.620187
12,1073741824,8192,350.921033
12,1073741824,8192,315.534291
12,1073741824,8192,387.492121
12,1073741824,0,686.913535
12,1073741824,64,28.404023
12,1073741824,64,27.34024
12,1073741824,64,27.132695
12,1073741824,80,27.838045
12,1073741824,80,27.526613
12,1073741824,80,27.423155
12,1073741824,96,29.268113
12,1073741824,96,26.648905
12,1073741824,96,28.543303
12,1073741824,112,26.608478
12,1073741824,112,28.21176
12,1073741824,112,28.185634
12,1073741824,128,29.067448
12,1073741824,128,29.211573
12,1073741824,128,30.386747
12,1073741824,24,42.71735
12,1073741824,24,52.60603
12,1073741824,24,45.0921
12,1073741824,32,36.839574
12,1073741824,32,34.440202
12,1073741824,32,41.386623
12,1073741824,40,32.311841
12,1073741824,40,31.664989
12,1073741824,40,33.439393
12,1073741824,48,26.940484
12,1073741824,48,29.023604
12,1073741824,48,30.188557
12,1073741824,56,30.824522
12,1073741824,56,27.799069
12,1073741824,56,27.180514
12,1073741824,64,28.586644
12,1073741824,64,25.890314
12,1073741824,64,28.802071
12,1073741824,72,28.336815
12,1073741824,72,27.592168
12,1073741824,72,26.500279
12,1073741824,80,28.701994
12,1073741824,80,25.208502
12,1073741824,80,28.369684
12,1073741824,64,28.188568
12,1073741824,64,29.408223
12,1073741824,64,28.97095
12,1073741824,64,27.006574
12,1073741824,64,28.400109
12,1073741824,72,30.864119
12,1073741824,72,28.101197
12,1073741824,72,27.073032
12,1073741824,72,30.981117
12,1073741824,72,27.338321
12,1073741824,80,27.9638
12,1073741824,80,28.462503
12,1073741824,80,26.155367
12,1073741824,80,27.730609
12,1073741824,80,28.145421
12,1073741824,88,26.909673
12,1073741824,88,27.035109
12,1073741824,88,26.95066
12,1073741824,88,30.228912
12,1073741824,88,29.863461
12,1073741824,96,29.500646
12,1073741824,96,27.039933
12,1073741824,96,26.427758
12,1073741824,96,27.562841
12,1073741824,96,24.819924
12,1073741824,104,26.488213
12,1073741824,104,25.825876
12,1073741824,104,25.960068
12,1073741824,104,26.849611
12,1073741824,104,33.314058
12,1073741824,112,27.702322
12,1073741824,112,29.150777
12,1073741824,112,26.041327
12,1073741824,112,27.478993
12,1073741824,112,32.217124
12,1073741824,120,30.571984
12,1073741824,120,27.950325
12,1073741824,120,27.671598
12,1073741824,120,27.56126
12,1073741824,120,24.906221
12,1073741824,128,29.034595
12,1073741824,128,27.361089
12,1073741824,128,28.452619
12,1073741824,128,30.24573
12,1073741824,128,28.946835
