Threads,ArraySize,Time
1, 65536, 0.004519
1, 65536, 0.004538
1, 65536, 0.004457
1, 131072, 0.009576
1, 131072, 0.009515
1, 131072, 0.009414
1, 262144, 0.019725
1, 262144, 0.019786
1, 262144, 0.019917
1, 524288, 0.043250
1, 524288, 0.042083
1, 524288, 0.042394
1, 1048576, 0.089251
1, 1048576, 0.087977
1, 1048576, 0.087789
1, 2097152, 0.182592
1, 2097152, 0.178661
1, 2097152, 0.176775
1, 4194304, 0.368351
1, 4194304, 0.370101
1, 4194304, 0.372986
1, 8388608, 0.780057
1, 8388608, 0.785488
1, 8388608, 0.812738
1, 16777216, 1.611431
1, 16777216, 1.646533
1, 16777216, 1.618688
1, 33554432, 3.364681
1, 33554432, 3.404355
1, 33554432, 3.479128
1, 67108864, 7.080098
1, 67108864, 7.041607
1, 67108864, 7.185849
1, 134217728, 15.373301
1, 134217728, 14.971969
1, 134217728, 15.070419
1, 268435456, 31.462333
1, 268435456, 31.512166
1, 268435456, 31.841054
1, 536870912, 63.004864
1, 536870912, 63.900077
1, 536870912, 63.577097
1, 1073741824, 130.112835
1, 1073741824, 130.395810
1, 1073741824, 131.074813
2, 65536, 0.004192
2, 65536, 0.004272
2, 65536, 0.004510
2, 131072, 0.007526
2, 131072, 0.007218
2, 131072, 0.007112
2, 262144, 0.014624
2, 262144, 0.015029
2, 262144, 0.015108
2, 524288, 0.025811
2, 524288, 0.023524
2, 524288, 0.024407
2, 1048576, 0.094213
2, 1048576, 0.091721
2, 1048576, 0.094169
2, 2097152, 0.211719
2, 2097152, 0.214195
2, 2097152, 0.113096
2, 4194304, 0.269477
2, 4194304, 0.268274
2, 4194304, 0.268688
2, 8388608, 0.850274
2, 8388608, 0.853461
2, 8388608, 0.719472
2, 16777216, 1.659379
2, 16777216, 1.012779
2, 16777216, 1.020965
2, 33554432, 2.165397
2, 33554432, 2.935568
2, 33554432, 2.194021
2, 67108864, 5.187415
2, 67108864, 5.516199
2, 67108864, 7.565870
2, 134217728, 8.959470
2, 134217728, 12.692207
2, 134217728, 10.661553
2, 268435456, 29.116882
2, 268435456, 21.478148
