Threads,ArraySize,Time
1, 65536, 0.004527
1, 65536, 0.004354
1, 65536, 0.004356
1, 131072, 0.009239
1, 131072, 0.009168
1, 131072, 0.010260
1, 262144, 0.019693
1, 262144, 0.020188
1, 262144, 0.019888
1, 524288, 0.042618
1, 524288, 0.041728
1, 524288, 0.042436
1, 1048576, 0.088984
1, 1048576, 0.088775
1, 1048576, 0.087173
1, 2097152, 0.173059
1, 2097152, 0.174008
1, 2097152, 0.172895
1, 4194304, 0.363859
1, 4194304, 0.374116
1, 4194304, 0.384160
1, 8388608, 0.791281
1, 8388608, 0.795111
1, 8388608, 0.800012
1, 16777216, 1.632652
1, 16777216, 1.625205
1, 16777216, 1.625282
1, 33554432, 3.459677
1, 33554432, 3.377614
1, 33554432, 3.531768
1, 67108864, 7.336183
1, 67108864, 7.095132
1, 67108864, 7.060463
1, 134217728, 14.910279
1, 134217728, 14.656180
1, 134217728, 14.584853
1, 268435456, 30.512195
1, 268435456, 29.906606
1, 268435456, 30.252479
1, 536870912, 62.593823
1, 536870912, 63.066879
1, 536870912, 66.099814
1, 1073741824, 128.530996
1, 1073741824, 129.678130
1, 1073741824, 128.697970
2, 65536, 0.003143
2, 65536, 0.002807
2, 65536, 0.002840
2, 131072, 0.006089
2, 131072, 0.005570
2, 131072, 0.005691
2, 262144, 0.012377
2, 262144, 0.012841
2, 262144, 0.012461
2, 524288, 0.024508
2, 524288, 0.027137
2, 524288, 0.024473
2, 1048576, 0.052882
2, 1048576, 0.045416
2, 1048576, 0.050368
2, 2097152, 0.118275
2, 2097152, 0.113967
2, 2097152, 0.113184
2, 4194304, 0.218614
2, 4194304, 0.222589
2, 4194304, 0.223573
2, 8388608, 0.451156
2, 8388608, 0.457470
2, 8388608, 0.445777
2, 16777216, 1.141600
2, 16777216, 1.176699
2, 16777216, 0.914627
2, 33554432, 1.860429
2, 33554432, 1.936506
2, 33554432, 1.984310
2, 67108864, 5.911202
2, 67108864, 3.767775
2, 67108864, 4.636989
2, 134217728, 8.001133
2, 134217728, 11.137222
2, 134217728, 8.190457
2, 268435456, 16.920352
2, 268435456, 19.059242
2, 268435456, 23.534608
2, 536870912, 41.829711
2, 536870912, 54.031380
2, 536870912, 58.486883
2, 1073741824, 69.827772
2, 1073741824, 72.785525
2, 1073741824, 108.747000
4, 65536, 0.002825
4, 65536, 0.002734
4, 65536, 0.002178
4, 131072, 0.003951
4, 131072, 0.003949
4, 131072, 0.003994
4, 262144, 0.009429
4, 262144, 0.008525
4, 262144, 0.009758
4, 524288, 0.024303
4, 524288, 0.024204
4, 524288, 0.024295
4, 1048576, 0.033351
4, 1048576, 0.032986
4, 1048576, 0.034032
4, 2097152, 0.070972
4, 2097152, 0.069679
4, 2097152, 0.068782
4, 4194304, 0.162446
4, 4194304, 0.157954
4, 4194304, 0.159803
4, 8388608, 0.373786
4, 8388608, 0.366805
4, 8388608, 0.371293
4, 16777216, 0.675265
4, 16777216, 0.727806
4, 16777216, 0.610087
4, 33554432, 1.502571
4, 33554432, 1.583469
4, 33554432, 1.256329
4, 67108864, 4.315940
4, 67108864, 2.985178
4, 67108864, 2.798870
4, 134217728, 4.783377
4, 134217728, 8.833830
4, 134217728, 6.817862
4, 268435456, 16.629469
4, 268435456, 14.482455
4, 268435456, 14.271619
4, 536870912, 24.992400
4, 536870912, 24.541147
4, 536870912, 27.183836
4, 1073741824, 58.305175
4, 1073741824, 56.605683
4, 1073741824, 65.456101
8, 65536, 0.001972
8, 65536, 0.001497
8, 65536, 0.001635
8, 131072, 0.003738
8, 131072, 0.003778
8, 131072, 0.003607
8, 262144, 0.006777
8, 262144, 0.006190
8, 262144, 0.006818
8, 524288, 0.012745
8, 524288, 0.012964
8, 524288, 0.013038
8, 1048576, 0.024614
8, 1048576, 0.025229
8, 1048576, 0.026192
8, 2097152, 0.052781
8, 2097152, 0.053269
8, 2097152, 0.051215
8, 4194304, 0.117912
8, 4194304, 0.104328
8, 4194304, 0.115642
8, 8388608, 0.234761
8, 8388608, 0.237905
8, 8388608, 0.245023
8, 16777216, 0.465529
8, 16777216, 0.496339
8, 16777216, 0.474238
8, 33554432, 1.015164
8, 33554432, 0.776688
8, 33554432, 0.777439
8, 67108864, 1.723967
8, 67108864, 1.987873
8, 67108864, 1.684592
8, 134217728, 3.496653
