Threads,ArraySize,Time
1, 65536, 0.004808
1, 65536, 0.004765
1, 65536, 0.004852
1, 131072, 0.009983
1, 131072, 0.009982
1, 131072, 0.009692
1, 262144, 0.021728
1, 262144, 0.021339
1, 262144, 0.021394
1, 524288, 0.046317
1, 524288, 0.046041
1, 524288, 0.045112
1, 1048576, 0.092371
1, 1048576, 0.092750
1, 1048576, 0.088890
1, 2097152, 0.187457
1, 2097152, 0.187173
1, 2097152, 0.187824
1, 4194304, 0.389180
1, 4194304, 0.392446
1, 4194304, 0.391005
1, 8388608, 0.817695
1, 8388608, 0.831003
1, 8388608, 0.933627
1, 16777216, 1.775768
1, 16777216, 1.679590
1, 16777216, 1.734305
1, 33554432, 3.773021
1, 33554432, 3.529580
1, 33554432, 3.563371
1, 67108864, 7.435479
1, 67108864, 7.535231
1, 67108864, 7.724630
1, 134217728, 15.828246
1, 134217728, 15.397387
1, 134217728, 15.131416
1, 268435456, 31.946848
1, 268435456, 31.650247
1, 268435456, 32.045737
1, 536870912, 67.133884
1, 536870912, 64.527724
1, 536870912, 66.675724
1, 1073741824, 135.812231
1, 1073741824, 136.135235
1, 1073741824, 138.358407
2, 65536, 0.003792
2, 65536, 0.003785
2, 65536, 0.003916
2, 131072, 0.007005
2, 131072, 0.006676
2, 131072, 0.006720
2, 262144, 0.017101
2, 262144, 0.016705
2, 262144, 0.016813
2, 524288, 0.040730
2, 524288, 0.040635
2, 524288, 0.041120
2, 1048576, 0.076569
2, 1048576, 0.077659
2, 1048576, 0.080537
2, 2097152, 0.158705
2, 2097152, 0.134417
2, 2097152, 0.112878
2, 4194304, 0.424091
2, 4194304, 0.414311
2, 4194304, 0.422162
2, 8388608, 0.498008
2, 8388608, 0.567547
2, 8388608, 0.550262
2, 16777216, 1.110728
2, 16777216, 1.012089
2, 16777216, 1.789092
2, 33554432, 2.228543
2, 33554432, 2.668949
2, 33554432, 2.140540
2, 67108864, 5.675753
2, 67108864, 4.710054
2, 67108864, 4.252504
2, 134217728, 9.109516
2, 134217728, 9.220398
2, 134217728, 15.526529
2, 268435456, 31.301943
2, 268435456, 28.053083
2, 268435456, 26.877941
2, 536870912, 41.514057
2, 536870912, 62.805114
2, 536870912, 66.033473
2, 1073741824, 76.537868
2, 1073741824, 75.883526
2, 1073741824, 134.590483
4, 65536, 0.003603
4, 65536, 0.003624
4, 65536, 0.003927
4, 131072, 0.006209
4, 131072, 0.005864
4, 131072, 0.005689
4, 262144, 0.013597
4, 262144, 0.017678
4, 262144, 0.015308
4, 524288, 0.029952
4, 524288, 0.028564
4, 524288, 0.027353
4, 1048576, 0.058621
4, 1048576, 0.057156
4, 1048576, 0.086892
4, 2097152, 0.141237
4, 2097152, 0.122118
4, 2097152, 0.116552
4, 4194304, 0.185912
4, 4194304, 0.181653
4, 4194304, 0.179434
4, 8388608, 0.644963
4, 8388608, 0.464016
4, 8388608, 0.538655
4, 16777216, 0.956940
4, 16777216, 0.941925
4, 16777216, 0.607902
4, 33554432, 1.673597
4, 33554432, 1.805064
4, 33554432, 1.532839
4, 67108864, 3.589070
4, 67108864, 3.770414
4, 67108864, 3.207125
4, 134217728, 6.114597
4, 134217728, 9.214740
4, 134217728, 7.962337
4, 268435456, 13.891119
4, 268435456, 17.746986
4, 268435456, 15.189074
4, 536870912, 26.436745
4, 536870912, 42.619791
4, 536870912, 31.532489
4, 1073741824, 56.295697
4, 1073741824, 71.555334
4, 1073741824, 60.984108
8, 65536, 0.002645
8, 65536, 0.002226
8, 65536, 0.002748
8, 131072, 0.004655
8, 131072, 0.004596
8, 131072, 0.005549
8, 262144, 0.009097
8, 262144, 0.008965
8, 262144, 0.008811
8, 524288, 0.018399
8, 524288, 0.018280
8, 524288, 0.019024
8, 1048576, 0.034976
8, 1048576, 0.036100
8, 1048576, 0.035790
8, 2097152, 0.064843
8, 2097152, 0.071230
8, 2097152, 0.074906
8, 4194304, 0.141908
8, 4194304, 0.140615
8, 4194304, 0.140521
8, 8388608, 0.339943
8, 8388608, 0.278596
8, 8388608, 0.290557
8, 16777216, 0.593495
8, 16777216, 0.653196
8, 16777216, 0.651597
8, 33554432, 1.094168
8, 33554432, 1.182874
8, 33554432, 1.216626
8, 67108864, 2.447826
8, 67108864, 2.420328
8, 67108864, 2.763954
8, 134217728, 5.317775
8, 134217728, 4.787070
8, 134217728, 5.737297
8, 268435456, 10.161299
8, 268435456, 12.104636
8, 268435456, 10.548335
8, 536870912, 19.310459
8, 536870912, 21.829986
8, 536870912, 20.497911
8, 1073741824, 38.636038
8, 1073741824, 39.671270
8, 1073741824, 41.441604
12, 65536, 0.007367
12, 65536, 0.002503
12, 65536, 0.002715
12, 131072, 0.008545
12, 131072, 0.004972
12, 131072, 0.005029
12, 262144, 0.009650
12, 262144, 0.014393
12, 262144, 0.009707
12, 524288, 0.019488
12, 524288, 0.019425
12, 524288, 0.022078
12, 1048576, 0.040861
12, 1048576, 0.041420
12, 1048576, 0.036156
12, 2097152, 0.087463
12, 2097152, 0.086344
12, 2097152, 0.089670
12, 4194304, 0.164408
12, 4194304, 0.180627
12, 4194304, 0.153782
12, 8388608, 0.297559
12, 8388608, 0.306534
12, 8388608, 0.309809
12, 16777216, 0.693678
12, 16777216, 0.710599
12, 16777216, 0.589497
12, 33554432, 1.326590
12, 33554432, 1.256635
12, 33554432, 1.204202
12, 67108864, 2.505422
12, 67108864, 2.322835
12, 67108864, 2.451009
12, 134217728, 5.278948
12, 134217728, 5.214120
12, 134217728, 5.182964
12, 268435456, 10.241284
12, 268435456, 10.028122
12, 268435456, 9.401403
12, 536870912, 19.085840
12, 536870912, 21.361763
12, 536870912, 19.244858
12, 1073741824, 40.610783
12, 1073741824, 40.077426
12, 1073741824, 47.886379
